Date,Time,DateTime,N/U,Count,y,bad1,bad2,bad3,bad4
10/31/2018,17:16:06,10/31/2018 17:16:06,460,729,547,,,,
10/31/2018,17:16:07,10/31/2018 17:16:07,460,721,547,,,,
10/31/2018,17:16:07,10/31/2018 17:16:07,460,728,547,,,,
10/31/2018,17:16:08,10/31/2018 17:16:08,460,730,547,,,,
10/31/2018,17:16:08,10/31/2018 17:16:08,460,724,547,,,,
10/31/2018,17:16:09,10/31/2018 17:16:09,460,730,547,,,,
10/31/2018,17:16:09,10/31/2018 17:16:09,460,723,547,,,,
10/31/2018,17:16:10,10/31/2018 17:16:10,460,727,547,,,,
10/31/2018,17:16:10,10/31/2018 17:16:10,460,721,547,,,,
10/31/2018,17:16:11,10/31/2018 17:16:11,460,729,547,,,,
10/31/2018,17:16:11,10/31/2018 17:16:11,460,736,547,,,,
10/31/2018,17:16:12,10/31/2018 17:16:12,460,745,547,,,,
10/31/2018,17:16:12,10/31/2018 17:16:12,460,711,547,,,,
10/31/2018,17:16:13,10/31/2018 17:16:13,460,712,547,,,,
10/31/2018,17:16:13,10/31/2018 17:16:13,460,722,547,,,,
10/31/2018,17:26:14,10/31/2018 17:26:14,460,748,556,,,,
10/31/2018,17:26:14,10/31/2018 17:26:14,460,743,556,,,,
10/31/2018,17:26:15,10/31/2018 17:26:15,460,745,555,,,,
10/31/2018,17:26:15,10/31/2018 17:26:15,460,742,556,,,,
10/31/2018,17:26:16,10/31/2018 17:26:16,460,744,555,,,,
10/31/2018,17:26:16,10/31/2018 17:26:16,460,744,555,,,,
10/31/2018,17:26:17,10/31/2018 17:26:17,460,746,555,,,,
10/31/2018,17:26:17,10/31/2018 17:26:17,460,747,555,,,,
10/31/2018,17:26:18,10/31/2018 17:26:18,460,747,555,,,,
10/31/2018,17:26:18,10/31/2018 17:26:18,460,749,555,,,,
10/31/2018,17:26:19,10/31/2018 17:26:19,460,744,555,,,,
10/31/2018,17:26:19,10/31/2018 17:26:19,460,753,555,,,,
10/31/2018,17:26:20,10/31/2018 17:26:20,460,750,555,,,,
10/31/2018,17:26:21,10/31/2018 17:26:21,460,748,554,,,,
10/31/2018,17:26:21,10/31/2018 17:26:21,460,745,554,,,,
10/31/2018,17:36:22,10/31/2018 17:36:22,460,752,557,,,,
10/31/2018,17:36:22,10/31/2018 17:36:22,460,743,556,,,,
10/31/2018,17:36:23,10/31/2018 17:36:23,460,744,556,,,,
10/31/2018,17:36:23,10/31/2018 17:36:23,460,746,556,,,,
10/31/2018,17:36:24,10/31/2018 17:36:24,460,745,556,,,,
10/31/2018,17:36:24,10/31/2018 17:36:24,460,749,556,,,,
10/31/2018,17:36:25,10/31/2018 17:36:25,460,748,556,,,,
10/31/2018,17:36:25,10/31/2018 17:36:25,460,742,556,,,,
10/31/2018,17:36:26,10/31/2018 17:36:26,460,747,555,,,,
10/31/2018,17:36:26,10/31/2018 17:36:26,460,742,555,,,,
10/31/2018,17:36:27,10/31/2018 17:36:27,460,740,555,,,,
10/31/2018,17:36:27,10/31/2018 17:36:27,460,742,555,,,,
10/31/2018,17:36:28,10/31/2018 17:36:28,460,745,555,,,,
10/31/2018,17:36:29,10/31/2018 17:36:29,460,746,555,,,,
10/31/2018,17:36:29,10/31/2018 17:36:29,460,745,555,,,,
10/31/2018,17:46:30,10/31/2018 17:46:30,460,741,557,,,,
10/31/2018,17:46:30,10/31/2018 17:46:30,460,746,556,,,,
10/31/2018,17:46:31,10/31/2018 17:46:31,460,743,556,,,,
10/31/2018,17:46:31,10/31/2018 17:46:31,460,743,556,,,,
10/31/2018,17:46:32,10/31/2018 17:46:32,460,743,556,,,,
10/31/2018,17:46:32,10/31/2018 17:46:32,460,749,556,,,,
10/31/2018,17:46:33,10/31/2018 17:46:33,460,744,556,,,,
10/31/2018,17:46:33,10/31/2018 17:46:33,460,742,556,,,,
10/31/2018,17:46:34,10/31/2018 17:46:34,460,742,556,,,,
10/31/2018,17:46:34,10/31/2018 17:46:34,460,747,555,,,,
10/31/2018,17:46:35,10/31/2018 17:46:35,460,749,555,,,,
10/31/2018,17:46:35,10/31/2018 17:46:35,460,748,555,,,,
10/31/2018,17:46:36,10/31/2018 17:46:36,460,742,555,,,,
10/31/2018,17:46:37,10/31/2018 17:46:37,460,740,555,,,,
10/31/2018,17:46:37,10/31/2018 17:46:37,460,746,555,,,,
10/31/2018,17:56:38,10/31/2018 17:56:38,460,744,557,,,,
10/31/2018,17:56:38,10/31/2018 17:56:38,460,744,557,,,,
10/31/2018,17:56:39,10/31/2018 17:56:39,460,745,556,,,,
10/31/2018,17:56:39,10/31/2018 17:56:39,460,742,556,,,,
10/31/2018,17:56:40,10/31/2018 17:56:40,460,744,556,,,,
10/31/2018,17:56:40,10/31/2018 17:56:40,460,742,556,,,,
10/31/2018,17:56:41,10/31/2018 17:56:41,460,747,556,,,,
10/31/2018,17:56:41,10/31/2018 17:56:41,460,747,556,,,,
10/31/2018,17:56:42,10/31/2018 17:56:42,460,743,555,,,,
10/31/2018,17:56:42,10/31/2018 17:56:42,460,745,555,,,,
10/31/2018,17:56:43,10/31/2018 17:56:43,460,745,556,,,,
10/31/2018,17:56:43,10/31/2018 17:56:43,460,741,555,,,,
10/31/2018,17:56:44,10/31/2018 17:56:44,460,747,555,,,,
10/31/2018,17:56:45,10/31/2018 17:56:45,460,746,555,,,,
10/31/2018,17:56:45,10/31/2018 17:56:45,460,745,555,,,,
10/31/2018,18:06:46,10/31/2018 18:06:46,460,738,557,,,,
10/31/2018,18:06:46,10/31/2018 18:06:46,460,740,557,,,,
10/31/2018,18:06:47,10/31/2018 18:06:47,460,743,557,,,,
10/31/2018,18:06:47,10/31/2018 18:06:47,460,741,556,,,,
10/31/2018,18:06:48,10/31/2018 18:06:48,460,745,556,,,,
10/31/2018,18:06:48,10/31/2018 18:06:48,460,740,556,,,,
10/31/2018,18:06:49,10/31/2018 18:06:49,460,743,556,,,,
10/31/2018,18:06:49,10/31/2018 18:06:49,460,747,556,,,,
10/31/2018,18:06:50,10/31/2018 18:06:50,460,750,555,,,,
10/31/2018,18:06:50,10/31/2018 18:06:50,460,748,555,,,,
10/31/2018,18:06:51,10/31/2018 18:06:51,460,743,555,,,,
10/31/2018,18:06:51,10/31/2018 18:06:51,460,747,556,,,,
10/31/2018,18:06:52,10/31/2018 18:06:52,460,747,555,,,,
10/31/2018,18:06:53,10/31/2018 18:06:53,460,744,555,,,,
10/31/2018,18:06:53,10/31/2018 18:06:53,460,744,555,,,,
10/31/2018,18:16:54,10/31/2018 18:16:54,460,744,557,,,,
10/31/2018,18:16:54,10/31/2018 18:16:54,460,747,556,,,,
10/31/2018,18:16:55,10/31/2018 18:16:55,460,742,556,,,,
10/31/2018,18:16:55,10/31/2018 18:16:55,460,740,556,,,,
