agency_cd,site_no,datetime,tz_cd,Gage Height,66227_00065_cd,Discharge,66228_00060_cd
USGS,1105585,10/31/2018 00:00,EDT,2.1,P,12,P
USGS,1105585,10/31/2018 00:15,EDT,2.1,P,11.9,P
USGS,1105585,10/31/2018 00:30,EDT,2.09,P,11.8,P
USGS,1105585,10/31/2018 00:45,EDT,2.1,P,12.2,P
USGS,1105585,10/31/2018 01:00,EDT,2.11,P,12.4,P
USGS,1105585,10/31/2018 01:15,EDT,2.09,P,11.9,P
USGS,1105585,10/31/2018 01:30,EDT,2.1,P,11.9,P
USGS,1105585,10/31/2018 01:45,EDT,2.09,P,11.8,P
USGS,1105585,10/31/2018 02:00,EDT,2.09,P,11.8,P
USGS,1105585,10/31/2018 02:15,EDT,2.09,P,11.8,P
USGS,1105585,10/31/2018 02:30,EDT,2.12,P,12.6,P
USGS,1105585,10/31/2018 02:45,EDT,2.09,P,11.9,P
USGS,1105585,10/31/2018 03:00,EDT,2.09,P,11.8,P
USGS,1105585,10/31/2018 03:15,EDT,2.09,P,11.7,P
USGS,1105585,10/31/2018 03:30,EDT,2.09,P,11.7,P
USGS,1105585,10/31/2018 03:45,EDT,2.09,P,11.8,P
USGS,1105585,10/31/2018 04:00,EDT,2.09,P,11.7,P
USGS,1105585,10/31/2018 04:15,EDT,2.11,P,12.4,P
USGS,1105585,10/31/2018 04:30,EDT,2.09,P,11.9,P
USGS,1105585,10/31/2018 04:45,EDT,2.09,P,11.8,P
USGS,1105585,10/31/2018 05:00,EDT,2.08,P,11.4,P
USGS,1105585,10/31/2018 05:15,EDT,2.08,P,11.6,P
USGS,1105585,10/31/2018 05:30,EDT,2.07,P,11.2,P
USGS,1105585,10/31/2018 05:45,EDT,2.08,P,11.6,P
USGS,1105585,10/31/2018 06:00,EDT,2.1,P,12,P
USGS,1105585,10/31/2018 06:15,EDT,2.08,P,11.6,P
USGS,1105585,10/31/2018 06:30,EDT,2.09,P,11.7,P
USGS,1105585,10/31/2018 06:45,EDT,2.09,P,11.7,P
USGS,1105585,10/31/2018 07:00,EDT,2.08,P,11.6,P
USGS,1105585,10/31/2018 07:15,EDT,2.08,P,11.4,P
USGS,1105585,10/31/2018 07:30,EDT,2.11,P,12.3,P
USGS,1105585,10/31/2018 07:45,EDT,2.08,P,11.6,P
USGS,1105585,10/31/2018 08:00,EDT,2.08,P,11.4,P
USGS,1105585,10/31/2018 08:15,EDT,2.07,P,11.2,P
USGS,1105585,10/31/2018 08:30,EDT,2.08,P,11.5,P
USGS,1105585,10/31/2018 08:45,EDT,2.08,P,11.5,P
USGS,1105585,10/31/2018 09:00,EDT,2.08,P,11.4,P
USGS,1105585,10/31/2018 09:15,EDT,2.1,P,12.2,P
USGS,1105585,10/31/2018 09:30,EDT,2.08,P,11.3,P
