5s,15s,DateTime,6s,Discharge,10s
USGS,1105585,11/21/2018 00:00,EST,26.1,P
USGS,1105585,11/21/2018 00:15,EST,26.7,P
USGS,1105585,11/21/2018 00:30,EST,26.1,P
USGS,1105585,11/21/2018 00:45,EST,26,P
USGS,1105585,11/21/2018 01:00,EST,25.6,P
USGS,1105585,11/21/2018 01:15,EST,26.5,P
USGS,1105585,11/21/2018 01:30,EST,26.4,P
USGS,1105585,11/21/2018 01:45,EST,25.7,P
USGS,1105585,11/21/2018 02:00,EST,25.8,P
USGS,1105585,11/21/2018 02:15,EST,26.4,P
USGS,1105585,11/21/2018 02:30,EST,25.8,P
USGS,1105585,11/21/2018 02:45,EST,25.6,P
USGS,1105585,11/21/2018 03:00,EST,25.4,P
USGS,1105585,11/21/2018 03:15,EST,25.3,P
USGS,1105585,11/21/2018 03:30,EST,26,P
USGS,1105585,11/21/2018 03:45,EST,25.5,P
USGS,1105585,11/21/2018 04:00,EST,25.1,P
USGS,1105585,11/21/2018 04:15,EST,25.5,P
USGS,1105585,11/21/2018 04:30,EST,25.6,P
USGS,1105585,11/21/2018 04:45,EST,25.3,P
USGS,1105585,11/21/2018 05:00,EST,25.4,P
USGS,1105585,11/21/2018 05:15,EST,25.2,P
USGS,1105585,11/21/2018 05:30,EST,25,P
USGS,1105585,11/21/2018 05:45,EST,25.8,P
USGS,1105585,11/21/2018 06:00,EST,25.5,P
USGS,1105585,11/21/2018 06:15,EST,25.1,P
USGS,1105585,11/21/2018 06:30,EST,24.7,P
USGS,1105585,11/21/2018 06:45,EST,25,P
USGS,1105585,11/21/2018 07:00,EST,25.6,P
USGS,1105585,11/21/2018 07:15,EST,24.9,P
USGS,1105585,11/21/2018 07:30,EST,24.7,P
USGS,1105585,11/21/2018 07:45,EST,24.3,P
USGS,1105585,11/21/2018 08:00,EST,24.5,P
USGS,1105585,11/21/2018 08:15,EST,25.4,P
USGS,1105585,11/21/2018 08:30,EST,24.6,P
USGS,1105585,11/21/2018 08:45,EST,24.3,P
USGS,1105585,11/21/2018 09:00,EST,24.3,P
USGS,1105585,11/21/2018 09:15,EST,24.3,P
USGS,1105585,11/21/2018 09:30,EST,25.1,P
USGS,1105585,11/21/2018 09:45,EST,24.7,P
USGS,1105585,11/21/2018 10:00,EST,24.2,P
USGS,1105585,11/21/2018 10:15,EST,24.2,P
USGS,1105585,11/21/2018 10:30,EST,23.7,P
USGS,1105585,11/21/2018 10:45,EST,24.9,P
USGS,1105585,11/21/2018 11:00,EST,24.5,P
USGS,1105585,11/21/2018 11:15,EST,24.2,P
USGS,1105585,11/21/2018 11:30,EST,23.9,P
USGS,1105585,11/21/2018 11:45,EST,23.9,P
USGS,1105585,11/21/2018 12:00,EST,24.9,P
USGS,1105585,11/21/2018 12:15,EST,24.5,P
USGS,1105585,11/21/2018 12:30,EST,23.9,P
USGS,1105585,11/21/2018 12:45,EST,24.3,P
USGS,1105585,11/21/2018 13:00,EST,23.9,P
USGS,1105585,11/21/2018 13:15,EST,24.9,P
USGS,1105585,11/21/2018 13:30,EST,24.1,P
USGS,1105585,11/21/2018 13:45,EST,23.5,P
USGS,1105585,11/21/2018 14:00,EST,23.3,P
USGS,1105585,11/21/2018 14:15,EST,23.8,P
USGS,1105585,11/21/2018 14:30,EST,24.8,P
