# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2018-12-12 14:57:54 EST       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01105585 TOWN BROOK AT QUINCY, MA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01105585
#            TS   parameter     Description
#         66228       00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	tz_cd	66228_00060	66228_00060_cd
5s	15s	20d	6s	14n	10s
USGS	01105585	2018-07-02 00:00	EDT	2.30	A
USGS	01105585	2018-07-02 00:15	EDT	2.44	A
USGS	01105585	2018-07-02 00:30	EDT	2.41	A
USGS	01105585	2018-07-02 00:45	EDT	2.31	A
USGS	01105585	2018-07-02 01:00	EDT	2.23	A
USGS	01105585	2018-07-02 01:15	EDT	2.53	A
USGS	01105585	2018-07-02 01:30	EDT	2.36	A
USGS	01105585	2018-07-02 01:45	EDT	2.25	A
USGS	01105585	2018-07-02 02:00	EDT	2.20	A
USGS	01105585	2018-07-02 02:15	EDT	2.46	A
USGS	01105585	2018-07-02 02:30	EDT	2.36	A
USGS	01105585	2018-07-02 02:45	EDT	2.26	A
USGS	01105585	2018-07-02 03:00	EDT	2.23	A
USGS	01105585	2018-07-02 03:15	EDT	2.43	A
USGS	01105585	2018-07-02 03:30	EDT	2.30	A
USGS	01105585	2018-07-02 03:45	EDT	2.23	A
USGS	01105585	2018-07-02 04:00	EDT	2.25	A
USGS	01105585	2018-07-02 04:15	EDT	2.44	A
USGS	01105585	2018-07-02 04:30	EDT	2.25	A
USGS	01105585	2018-07-02 04:45	EDT	2.20	A
USGS	01105585	2018-07-02 05:00	EDT	2.31	A
USGS	01105585	2018-07-02 05:15	EDT	2.44	A
USGS	01105585	2018-07-02 05:30	EDT	2.28	A
USGS	01105585	2018-07-02 05:45	EDT	2.19	A
USGS	01105585	2018-07-02 06:00	EDT	2.23	A
USGS	01105585	2018-07-02 06:15	EDT	2.31	A
USGS	01105585	2018-07-02 06:30	EDT	2.23	A
USGS	01105585	2018-07-02 06:45	EDT	2.19	A
USGS	01105585	2018-07-02 07:00	EDT	2.22	A
USGS	01105585	2018-07-02 07:15	EDT	2.39	A
USGS	01105585	2018-07-02 07:30	EDT	2.26	A
USGS	01105585	2018-07-02 07:45	EDT	2.16	A
USGS	01105585	2018-07-02 08:00	EDT	2.12	A
USGS	01105585	2018-07-02 08:15	EDT	2.36	A
USGS	01105585	2018-07-02 08:30	EDT	2.26	A
USGS	01105585	2018-07-02 08:45	EDT	2.19	A
USGS	01105585	2018-07-02 09:00	EDT	2.12	A
USGS	01105585	2018-07-02 09:15	EDT	2.30	A
USGS	01105585	2018-07-02 09:30	EDT	2.33	A
USGS	01105585	2018-07-02 09:45	EDT	2.13	A
USGS	01105585	2018-07-02 10:00	EDT	2.07	A
USGS	01105585	2018-07-02 10:15	EDT	2.28	A
USGS	01105585	2018-07-02 10:30	EDT	2.43	A
USGS	01105585	2018-07-02 10:45	EDT	2.26	A
USGS	01105585	2018-07-02 11:00	EDT	2.14	A
USGS	01105585	2018-07-02 11:15	EDT	2.06	A
USGS	01105585	2018-07-02 11:30	EDT	2.30	A
USGS	01105585	2018-07-02 11:45	EDT	2.22	A
USGS	01105585	2018-07-02 12:00	EDT	2.10	A
USGS	01105585	2018-07-02 12:30	EDT	2.20	A
USGS	01105585	2018-07-02 12:45	EDT	2.23	A
USGS	01105585	2018-07-02 13:00	EDT	2.12	A
USGS	01105585	2018-07-02 13:15	EDT	2.06	A
USGS	01105585	2018-07-02 13:30	EDT	2.03	A
USGS	01105585	2018-07-02 13:45	EDT	2.33	A
USGS	01105585	2018-07-02 14:00	EDT	2.26	A
USGS	01105585	2018-07-02 14:15	EDT	2.14	A
USGS	01105585	2018-07-02 14:30	EDT	2.09	A
USGS	01105585	2018-07-02 14:45	EDT	2.28	A
USGS	01105585	2018-07-02 15:00	EDT	2.22	A
USGS	01105585	2018-07-02 15:15	EDT	2.13	A
USGS	01105585	2018-07-02 15:30	EDT	2.05	A
USGS	01105585	2018-07-02 15:45	EDT	2.26	A
USGS	01105585	2018-07-02 16:00	EDT	2.26	A
USGS	01105585	2018-07-02 16:15	EDT	2.13	A
USGS	01105585	2018-07-02 16:30	EDT	2.09	A
USGS	01105585	2018-07-02 16:45	EDT	2.17	A
USGS	01105585	2018-07-02 17:00	EDT	2.33	A
USGS	01105585	2018-07-02 17:15	EDT	2.19	A
USGS	01105585	2018-07-02 17:30	EDT	2.10	A
USGS	01105585	2018-07-02 17:45	EDT	2.06	A
USGS	01105585	2018-07-02 18:00	EDT	2.35	A
USGS	01105585	2018-07-02 18:15	EDT	2.22	A
USGS	01105585	2018-07-02 18:30	EDT	2.10	A
USGS	01105585	2018-07-02 18:45	EDT	2.07	A
USGS	01105585	2018-07-02 19:00	EDT	2.13	A
USGS	01105585	2018-07-02 19:15	EDT	2.25	A
USGS	01105585	2018-07-02 19:30	EDT	2.10	A
USGS	01105585	2018-07-02 19:45	EDT	2.06	A
USGS	01105585	2018-07-02 20:00	EDT	2.02	A
USGS	01105585	2018-07-02 20:15	EDT	2.26	A
USGS	01105585	2018-07-02 20:30	EDT	2.12	A
USGS	01105585	2018-07-02 20:45	EDT	2.05	A
USGS	01105585	2018-07-02 21:00	EDT	2.02	A
USGS	01105585	2018-07-02 21:15	EDT	2.20	A
