5s,15s,Date_time,6s,Discharge,10s
USGS,1105585,7/2/2018 00:00,EDT,2.3,A
USGS,1105585,7/2/2018 00:15,EDT,2.44,A
USGS,1105585,7/2/2018 00:30,EDT,2.41,A
USGS,1105585,7/2/2018 00:45,EDT,2.31,A
USGS,1105585,7/2/2018 01:00,EDT,2.23,A
USGS,1105585,7/2/2018 01:15,EDT,2.53,A
USGS,1105585,7/2/2018 01:30,EDT,2.36,A
USGS,1105585,7/2/2018 01:45,EDT,2.25,A
USGS,1105585,7/2/2018 02:00,EDT,2.2,A
USGS,1105585,7/2/2018 02:15,EDT,2.46,A
USGS,1105585,7/2/2018 02:30,EDT,2.36,A
USGS,1105585,7/2/2018 02:45,EDT,2.26,A
USGS,1105585,7/2/2018 03:00,EDT,2.23,A
USGS,1105585,7/2/2018 03:15,EDT,2.43,A
USGS,1105585,7/2/2018 03:30,EDT,2.3,A
USGS,1105585,7/2/2018 03:45,EDT,2.23,A
USGS,1105585,7/2/2018 04:00,EDT,2.25,A
USGS,1105585,7/2/2018 04:15,EDT,2.44,A
USGS,1105585,7/2/2018 04:30,EDT,2.25,A
USGS,1105585,7/2/2018 04:45,EDT,2.2,A
USGS,1105585,7/2/2018 05:00,EDT,2.31,A
USGS,1105585,7/2/2018 05:15,EDT,2.44,A
USGS,1105585,7/2/2018 05:30,EDT,2.28,A
USGS,1105585,7/2/2018 05:45,EDT,2.19,A
USGS,1105585,7/2/2018 06:00,EDT,2.23,A
USGS,1105585,7/2/2018 06:15,EDT,2.31,A
USGS,1105585,7/2/2018 06:30,EDT,2.23,A
USGS,1105585,7/2/2018 06:45,EDT,2.19,A
USGS,1105585,7/2/2018 07:00,EDT,2.22,A
USGS,1105585,7/2/2018 07:15,EDT,2.39,A
USGS,1105585,7/2/2018 07:30,EDT,2.26,A
USGS,1105585,7/2/2018 07:45,EDT,2.16,A
USGS,1105585,7/2/2018 08:00,EDT,2.12,A
USGS,1105585,7/2/2018 08:15,EDT,2.36,A
